Track Name,Artists,Genres
POWER UP,Strawhatz,
Oxford Gray,Shuggie Otis,
Swing - Tropkillaz Remix,SOFI TUKKER; Tropkillaz,brazilian funk; brazilian pop
GeiSha,Uki,
Oh Ne,BOXINBOX,
Kobra (feat. Pouvoir Magique),Fakear; Pouvoir Magique,
Kyoto,Utkersh,
KinjaBang,TroyBoi,edm trap
mas queso,FLOYD WONDER,
Take It,The Seige,
Ylang Ylang,FKJ; ((( O ))),
Carti,TroyBoi,edm trap
On My Own,TroyBoi; Nefera,edm trap
183 Times,Greg Haines,contemporary classical; minimalism; neoclassical
River Flows In You,Yiruma,neoclassical
Rebirth,Yaima,
Mycelia - Fantastic Fungi: Reimagine,Yaima,
Sila,The Halluci Nation; Tanya Tagaq,native american music
Nevar,El Búho; Didacte,electrocumbia
Father Ocean - Ben Böhmer Remix Edit,Monolink; Ben Böhmer,deep house; melodic house; melodic techno; progressive house; techno
Got To Give It Up - Pt. 1,Marvin Gaye,classic soul; motown; northern soul; quiet storm; soul
Ella Lua,Intiche; Maywa,
Imtidad,Driss El Maloumi,early music; gnawa
Sve na Crno,Tebra,downtempo; organic house; tribal house
Blind Theatre,Omeria,downtempo; organic house; tribal house
Dougne Te Soye,Massimo Lippoli,afro house; afro tech; tribal house
Black Raven,Just Emma,downtempo; organic house; tribal house
Remember to Breathe,Byron Metcalf,
Maori Dance,Paranormal Attack,progressive trance; psytrance; trance
Yeaku,AWARÉ,
Camino en Llamas (Steffen Kirchhoff Revision),Lagartijeando; Steffen Kirchhoff,electrocumbia
Uivando,Dandara,downtempo; organic house; tribal house
Manuela,GAÏA,
Creatura,GAÏA; Keren Tannenbaum,
Vuma (Mixed),THEMBA,afro house; afro tech; tribal house
Abundance,Balance The Horizon,
Dendara - Solidmind Remix,Michael Simon; Solidmind,downtempo; organic house; tribal house
Liminal Sun,Poranguí; Liquid Bloom,
Psychedelic Sunset,Morillo; Cam Steen,
"The Big Dipper, I'm the Skipper",The Polish Ambassador; Kool Keith,east coast hip hop; experimental hip hop; underground hip hop
Yesterday,HNNY,jazz house
By,HNNY,jazz house
Mono,SidiRum; Jin Yerei,downtempo; electrocumbia
How Strange - Nicola Cruz Remix,FEATHERED SUN; Acid Pauli; Nu; Jo.Ke; Raz Ohara; Chris Schwarzwalder; Nicola Cruz,downtempo; electrocumbia; idm; organic house
Criançada - con Castello Branco,Nicola Cruz; Castello Branco,downtempo; electrocumbia; new mpb
Timbiqui Hasta DC Feat Nidia Gongora - Zakir 'Back to the Roots' Mix,Sabo; Zakir,downtempo; electrocumbia; indie dance; organic house; tribal house
Kigelia,Elfenberg,afro tech; downtempo; organic house; tribal house
Seems to Be,Zigan Aldi,downtempo; organic house; tribal house
Niv,Geju,downtempo; organic house; tribal house
Gobi,Tunnelvisions,indie dance; organic house
Cameldriver,Bahramji; Mashti,sufi
Umut,Fuat Talay; Mashti,sufi
Bota,Buraka Som Sistema; Karol Conká,brazilian hip hop; brazilian pop; kuduro; moombahton
Safari,Omiki; TERRA,melodic techno; progressive trance; psytrance; trance
Drumville,Freedom Fighters; Modus,progressive trance; psytrance; trance
LA SUERTE - Mente Orgánica Remix,LaTorre; Mente Orgánica,downtempo; latin indie
Toma Que Toma,Toro; Polocorp,french indie pop; gnawa
Druids,ICHI,
Desire,TALEX,
Maya,Omiki; Phanatic; David Trindade,melodic techno; progressive trance; psytrance; trance
Na Le - Phaxe Remix,Omiki; Phaxe,melodic techno; progressive trance; psytrance; trance
Sleep Talking,Synergetic Emotion; Who Knows?,progressive trance; psytrance; trance
Cargo,Robey,
Marduk,Jarl Flamar,downtempo; organic house; tribal house
Gandhari's Dance - Juliano Gomez Remix,Kellie Sakkaku; Juliano Gomez,afro tech; downtempo; organic house; tribal house
Fasha,Gili Eidelson,downtempo; organic house
Junam,Gili Eidelson; Ravid Kahalani,downtempo; organic house; psytrance
Live Jam,Gili Eidelson,downtempo; organic house
Luna,Gili Eidelson,downtempo; organic house
Bamidbar,Gili Eidelson,downtempo; organic house
Fasha - Mixed,Gili Eidelson,downtempo; organic house
Katoa - Extended Mix - Mixed,MI.LA,downtempo; organic house
Alchemy Circle - Original mix,Boundless; Synesthetic,minimal techno; progressive trance; psytrance
Batucanza - Original mix,Etnica; Tecnica,acid techno; psytrance; trance
Samsara,Simo Moumen,afro house; afro tech
Spirals Inflections - Simply City Remix,Kamilo Sanclemente; Carol Brown; Simply City,melodic house; melodic techno; organic house; progressive house
Spirals Inflections - Arrab Remix,Kamilo Sanclemente; Carol Brown; Arrab,melodic house; melodic techno; organic house; progressive house
Concerto,Yahya,gnawa; organic house
Lost Beach - Radio Edit,Jiunaze,organic house
Kalpler,islandman,downtempo; organic house
Luna - Feathered Sun Remix,Alex Serra; FEATHERED SUN,downtempo; organic house
As You Fly - 16BL Remix,Cubicolor; 16BL,deep house; melodic house; melodic techno; progressive house
Bayede - Caiiro Remix,DJ Kabila; Victor Sithole; Caiiro,3 step; afro house; afro tech; amapiano; deep house; tribal house
Endaweni,DJ Kabila; Deep Narratives; 0766214661344,3 step; afro house; afro tech; gqom; tribal house
Dtjoh (feat. Jessica LM),Citizen Deep; Jessica LM,3 step; afro house; afro tech; amapiano; deep house; gqom; private school piano; tribal house
Are We Safe,Lemon & Herb; Miči,3 step; afro house; afro tech; deep house; tribal house
